date_month,sub_month,viewing_sub_count,total_hours_viewed,median_unique_title_count,average_title_view_count,average_hours_viewed
2023-08-01 00:00:00.000000,66,8877,108504.424007,2.0,3.622169651909429,12.2230960918
2023-08-01 00:00:00.000000,36,104849,1589407.555724,3.0,3.9357266163721163,15.1590149236
2024-01-01 00:00:00.000000,46,52602,835036.964168,2.0,3.6933766776928634,15.8746238578
2024-05-01 00:00:00.000000,107,5030,53644.912718,2.0,3.463618290258449,10.6649925881
2023-07-01 00:00:00.000000,37,133506,1971196.446286,2.0,3.7310907374949442,14.7648528627
2024-03-01 00:00:00.000000,8,299559,4799159.743369,3.0,3.943693896694808,16.0207496465
2024-05-01 00:00:00.000000,95,8023,98665.156209,3.0,3.567618097968341,12.2977883845
2023-06-01 00:00:00.000000,56,10737,133759.549864,3.0,3.811492968240663,12.4578140881
2023-10-01 00:00:00.000000,104,207,2074.639315,2.0,3.5217391304347827,10.0224121498
2023-06-01 00:00:00.000000,10,409612,6184309.969963,3.0,4.0094357587180065,15.0979706892
2023-06-01 00:00:00.000000,73,9477,115870.808117,3.0,3.7856916745805633,12.2265282386
2023-10-01 00:00:00.000000,4,461197,7614534.100903,3.0,4.2859645661181665,16.5103721423
2023-07-01 00:00:00.000000,92,4107,45718.732716,2.0,3.440710981251522,11.1319047275
2024-02-01 00:00:00.000000,37,193025,2914571.422671,2.0,3.629265639165911,15.0994504477
2024-02-01 00:00:00.000000,53,16875,211563.819687,2.0,3.467496296296296,12.5371152407
2023-08-01 00:00:00.000000,74,23316,293317.464905,2.0,3.6132698576085094,12.5800937084
2024-04-01 00:00:00.000000,17,191225,2619949.544823,2.0,3.383176885867434,13.7008735512
2023-05-01 00:00:00.000000,66,3756,25608.522875,2.0,2.7026091586794463,6.8180305844
2024-02-01 00:00:00.000000,24,176933,2540260.018967,2.0,3.3546201104372844,14.3571861607
2024-04-01 00:00:00.000000,91,7175,80365.213029,2.0,3.617700348432056,11.2007265546
2023-10-01 00:00:00.000000,22,309297,4782489.398316,2.0,3.9886840156871872,15.4624500022
2024-04-01 00:00:00.000000,46,100396,1371662.008589,2.0,3.382385752420415,13.6625165205
2024-04-01 00:00:00.000000,57,17783,210059.219664,2.0,3.486981949052466,11.8123612250
2023-05-01 00:00:00.000000,20,154766,1130101.607831,2.0,2.6060956540842306,7.3020017822
2023-12-01 00:00:00.000000,56,80236,1090411.827685,3.0,3.987599082706017,13.5900571774
2023-10-01 00:00:00.000000,26,195320,2869424.652941,2.0,3.901295310260086,14.6908900929
2023-07-01 00:00:00.000000,74,9241,116027.978269,2.0,3.7125852180499948,12.5557816545
2023-09-01 00:00:00.000000,9,355018,5088746.877642,2.0,3.6904551318524694,14.3337714641
2023-07-01 00:00:00.000000,93,4144,48102.355005,2.0,3.5786679536679538,11.6077111499
2023-11-01 00:00:00.000000,5,410797,6788345.087201,3.0,4.130434253414704,16.5248166058
2023-05-01 00:00:00.000000,51,23102,160870.613212,2.0,2.6659163708769804,6.9634929102
2024-04-01 00:00:00.000000,32,157018,2153765.562111,2.0,3.487504617305022,13.7166793750
2024-02-01 00:00:00.000000,29,191775,2744099.221086,2.0,3.4985477773432407,14.3089517460
2023-07-01 00:00:00.000000,36,124547,1822117.799144,3.0,3.816398628630156,14.6299613732
2024-01-01 00:00:00.000000,102,4414,53832.436646,2.0,3.280244676030811,12.1958397476
2023-10-01 00:00:00.000000,3,466035,7883211.552846,3.0,4.357958093276256,16.9154925120
2024-05-01 00:00:00.000000,79,5278,70177.818902,3.0,3.7173171655930277,13.2962900534
2024-01-01 00:00:00.000000,28,204291,3226732.551314,2.0,3.5732068470955647,15.7947856309
2023-07-01 00:00:00.000000,62,10464,137222.550659,3.0,3.773987003058104,13.1137758657
2023-10-01 00:00:00.000000,58,19266,223083.460569,2.0,3.586681200041524,11.5791269889
2023-11-01 00:00:00.000000,34,206847,3112922.346217,2.0,3.85751787553119,15.0493956703
2023-07-01 00:00:00.000000,57,10346,128736.373526,2.0,3.6845157548811134,12.4431058888
2023-03-01 00:00:00.000000,32,131487,1929739.314356,2.0,3.4814659892917983,14.6761629529
2022-07-01 00:00:00.000000,32,30179,403465.886604,2.0,3.4781643472498343,13.3686509809
2023-02-01 00:00:00.000000,35,70042,1063583.130996,2.0,3.6615364847308083,15.1847169738
2022-01-01 00:00:00.000000,82,28183,461222.390895,3.0,4.313298325290945,16.3646888623
