,date_month,sub_tenure_months,user_count,hours_viewed
1099,2022-08-01,19,583767,11090446.102500
1100,2022-08-01,18,620689,10778502.960500
1101,2023-03-01,24,740915,16893442.111833
1102,2023-02-01,28,200107,4191440.526500
1103,2022-10-01,43,135669,1851238.417000
1104,2022-01-01,62,13904,276137.273333
1105,2022-02-01,75,6815,105376.924000
1106,2022-02-01,64,14038,234430.771500
1107,2022-02-01,82,33330,470137.670333
1108,2022-03-01,59,12926,208363.102000
1109,2022-06-01,7,855757,12540662.014167
1110,2023-04-01,19,685929,13403358.145667
1111,2023-02-01,62,10548,184567.694000
1112,2023-04-01,63,12540,212053.602833
1113,2022-07-01,48,20281,324185.690333
1114,2023-07-01,61,14332,280752.005667
1115,2023-07-01,34,197067,4146036.241000
1116,2023-08-01,79,9507,174281.853833
1117,2023-08-01,96,4959,86874.491833
1118,2024-02-01,9,485148,11082647.564167
1119,2022-05-01,-9,130,850.354667
1120,2022-02-01,-8,259,3747.509167
1121,2022-04-01,-6,291,2909.855000
1122,2022-05-01,-12,10,76.354167
1123,2022-06-01,-8,117,877.827500
1124,2023-03-01,-3,5,14.731833
1125,2022-03-01,-16,1,8.622500
1126,2023-05-01,-2,1,0.210833
1127,2023-03-01,-8,2,68.843500
1128,2022-10-01,-12,3,30.978667
1129,2023-05-01,-7,2,12.103667
1130,2023-01-01,-11,1,0.037500
1131,2022-02-01,6,1184286,18351711.137667
1132,2023-02-01,4,981888,16977972.247500
1133,2022-10-01,17,562186,11869414.184167
1134,2022-10-01,27,204958,4062731.147500
1135,2022-03-01,27,47201,824606.093000
1136,2022-04-01,18,276198,5442866.938500
1137,2023-02-01,72,10255,177200.837167
1138,2023-03-01,37,58762,970185.329167
1139,2022-12-01,4,1483868,30336694.059667
1140,2023-04-01,32,234725,4959679.719167
1141,2022-07-01,58,11527,178867.177500
1142,2023-10-01,31,549560,13946791.788500
1143,2024-02-01,19,405320,7518355.006167
1144,2024-02-01,18,571911,12555090.710333
1145,2024-01-01,53,24615,557814.581333
1146,2024-03-01,85,2087,5229.733667
1147,2023-02-01,16,531364,9382962.790333
1148,2023-02-01,34,180242,3691708.463333
1149,2022-10-01,24,239048,4529320.933333
1150,2022-08-01,29,100336,1993784.767833
