Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
MAX-AQ-001903,GXkRjxwjR68PDwwEAABKJ,,1,1,10,manual, Rick and Morty Season 1,Adult Animation Acquired,AS,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001912,,,,,,future, Rick and Morty Season 10,Adult Animation Acquired,AS,Committed,5/17/27,,,No,Max Acquired,2027,,,11/3/23,0,Harshitha
MAX-AQ-001904,GXkRjxwjR68PDwwEAABKJ,,1,2,10,manual, Rick and Morty Season 2,Adult Animation Acquired,AS,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001905,GXkRjxwjR68PDwwEAABKJ,,1,3,10,manual, Rick and Morty Season 3,Adult Animation Acquired,AS,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001906,GXkRjxwjR68PDwwEAABKJ,,1,4,10,manual, Rick and Morty Season 4,Adult Animation Acquired,AS,Committed,11/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001907,GXkRjxwjR68PDwwEAABKJ,,1,5,10,manual, Rick and Morty Season 5,Adult Animation Acquired,AS,Committed,2/5/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-001908,GXkRjxwjR68PDwwEAABKJ,,1,6,10,manual, Rick and Morty Season 6,Adult Animation Acquired,AS,Committed,5/11/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-001909,GXkRjxwjR68PDwwEAABKJ,,1,7,10,manual, Rick and Morty Season 7,Adult Animation Acquired,AS,Committed,5/17/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
MAX-AQ-001910,,,,,,future, Rick and Morty Season 8,Adult Animation Acquired,AS,Committed,5/17/25,,,No,Max Acquired,2025,,,11/3/23,0,Harshitha
MAX-AQ-001911,,,,,,future, Rick and Morty Season 9,Adult Animation Acquired,AS,Committed,5/17/26,,,No,Max Acquired,2026,,,11/3/23,0,Harshitha
MAX-AQ-005231,GYGIefg1jFcMUuAEAAAAi,,,,,manual,"""""10""""""""""""",Movies Acquired,WB,Committed,4/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-005879,GYGIefg1jFcMUuAEAAAAi,,,,,manual,"""""10""""""""""""",Movies Acquired,WB,Committed,1/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
HBO-OP-001046,,,,,,,Slave Play,Documentary Feature Original,,Committed,,,WCF-10020343,No,HBO OP,2024,,,11/3/23,0,Colin
MAX-OP-000278,GY35ecgSxYMLCwwEAAAIt,,,,,manual,"""""The Nutcracker"""""""" - Sesame Special""""",Kids Content Original,SS,Committed,,,DTC1030,Yes,Max OP,2022,,,11/3/23,0,Harshitha
MAX-OP-000128,GXuu7ygQ61cI9DgEAAAAY,,,1,1,manual,"Adventure Time Distant Lands -"""""""" Wizard City"""""""" Special""""",Kids Content Original,CNS,Committed,,,HKF0011,Yes,Max OP,2021,,,11/3/23,0,Harshitha
MAX-OP-000102,GXuu7ygQ61cI9DgEAAAAY,,,1,1,manual,"Adventure Time Distant Lands -""""""""Together Again"""""""" Special""""",Kids Content Original,CNS,Committed,,,HKF0010,Yes,Max OP,2021,,,11/3/23,0,Harshitha
Do not use 5051,GYPIGVAXEYmmqwgEAAAAC,,,,,manual,"REIK EN VIVO DESDE EL AUDITORIO NACIONAL (""""""""REIK LIVE FROM EL AUDITORIO NACIONAL"""""""")""""",Movies Acquired,3RD PARTY,Committed,9/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
Do not use 662,GYPIGVAXEYmmqwgEAAAAC,,,,,manual,"REIK EN VIVO DESDE EL AUDITORIO NACIONAL (""""""""REIK LIVE FROM EL AUDITORIO NACIONAL"""""""")""""",Movies Acquired,3RD PARTY,Committed,9/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
MAX-OP-000115,rLWHsgEAAAAo,,,,,manual,"Sesame Docuseries - """"""""Through Our Eyes"""""""" (previously called """"""""Home"""""""")""""",Documentary Series Original,SESAME WORKSHOP,Committed,,,HKF0002,Yes,Max OP,2021,,,11/3/23,0,Harshitha
MAX-AQ-001676,,,,,,,Smash! S1,Kids Content Acquired,SMASH ANIMATION LL,Committed,1/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin
MAX-AQ-001677,,,,,,,Smash! S2,Kids Content Acquired,SMASH ANIMATION LL,Committed,4/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin
MAX-AQ-007428,GZA8LUQTsmLiWtQEAAAPl,,,1,1,manual,#BringBackAlice (Poland),International Content Original,HBO INT. - SERIES,Committed,4/14/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
Do not use 5146,GXkV4_wx4nsPDwwEAABNU,GXkV4_wx4nsPDwwEAABNU,,,,title,*BATTERIES NOT INCLUDED,Movies Acquired,UNI,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Harshitha
Do not use 3819,GXkV4_wx4nsPDwwEAABNU,GXkV4_wx4nsPDwwEAABNU,,,,title,*BATTERIES NOT INCLUDED,Movies Acquired,UNIVERSAL,Committed,5/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Harshitha
Do not use 747,GYDkpCQbPV26ewgEAAAAY,,,,,manual,"1, 2, 3, ALL EYES ON ME (2020 LATINX SHORT FILM COMPETITION WINNER)",Movies Acquired,3RD PARTY,Committed,4/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
Do not use 4671,GYDkpCQbPV26ewgEAAAAY,,,,,manual,"1, 2, 3, ALL EYES ON ME (2020 LATINX SHORT FILM COMPETITION WINNER)",Movies Acquired,3RD PARTY,Committed,4/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
Do not use 2652,GXeq3xAVyMMPCwwEAAEcx,GXeq3xAVyMMPCwwEAAEcx,,,,title,10 TO MIDNIGHT,Movies Acquired,MGM,Committed,1/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Harshitha
Do not use 5022,GXeq3xAVyMMPCwwEAAEcx,GXeq3xAVyMMPCwwEAAEcx,,,,title,10 TO MIDNIGHT,Movies Acquired,MGM,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Harshitha
Do not use 2181,GYBNhmwm7rocyvgEAAACx,GYBNhmwm7rocyvgEAAACx,,,,title,10 YEARS,Movies Acquired,LIONS GATE,Committed,3/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
Do not use 5397,GYBNhmwm7rocyvgEAAACx,GYBNhmwm7rocyvgEAAACx,,,,title,10 YEARS,Movies Acquired,LIONS GATE,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-000370,GXjr8UQSrLMPDwwEAAAgO,,,,,manual,"10,000 BC",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Harshitha
HBO-OP-000344,GYK6A0wdFMsMdJgEAAAAJ,GYK6A0wdFMsMdJgEAAAAJ,,,,title,100 Foot Wave,Documentary Series Original,,Committed,,,SPT-10022615,No,HBO OP,2021,,,11/3/23,0,Harshitha
HBO-OP-000436,GYK6A0wdFMsMdJgEAAAAJ,,1,2,3,manual,100 Foot Wave S2,Documentary Series Original,,Committed,,,SPT-10023571,No,HBO OP,2023,,,11/3/23,0,Harshitha
HBO-OP-001167,GYK6A0wdFMsMdJgEAAAAJ,,1,3,3,manual,100 Foot Wave S3,Documentary Series Original,,Committed,,,,No,HBO OP,2024,,,11/3/23,0,Harshitha
MAX-OP-000369,GZEkdOwI-vHSfmgEAAAjs,GZEkdOwI-vHSfmgEAAAjs,,,,title,100 Years of Warner Bros.,Documentary Series Original,WARNER HORIZON,Committed,,,DTC1382,No,Max OP,2023,,,11/3/23,0,Harshitha
MAX-AQ-001678,,,,,,,Smash! S3,Kids Content Acquired,SMASH ANIMATION LL,Committed,7/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin
HBO-OP-000862,GZD6wFwwXeZfDVQEAABVW,GZD6wFwwXeZfDVQEAABVW,,,,title,1000% Me: Growing Up Mixed,Documentary Feature Original,,Committed,,,WCF-10022931,No,HBO OP,2023,,,11/3/23,0,Harshitha
MAX-AQ-001679,,,,,,,Smash! S4,Kids Content Acquired,SMASH ANIMATION LL,Committed,10/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin
MAX-OP-000063,GX6MzzwZycJYSwwEAAALF,,1,1,2,manual,12 Dates of Christmas S1,Unscripted Original,ALL 3 MEDIA,Committed,,,DTC1101,No,Max OP,2020,,,11/3/23,0,Harshitha
MAX-OP-000155,GX6MzzwZycJYSwwEAAALF,,1,2,2,manual,12 Dates of Christmas S2,Unscripted Original,ALL 3 MEDIA,Committed,,,DTC1190,No,Max OP,2021,,,11/3/23,0,Harshitha
MAX-AQ-002223,GX8VMAAjj5cLDbAEAAABL,,1,,3,manual,12 Ounce Mouse (reboot/continuation),Adult Animation Acquired,AS,Committed,3/6/21,,,No,Max Acquired,2021,,,11/3/23,0,Harshitha
Do not use 1908,GWguMbQmyTa3CwgEAAAEW,GWguMbQmyTa3CwgEAAAEW,,,,title,12 ROUNDS,Movies Acquired,FOX,Committed,5/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Harshitha
Do not use 1909,GYkyxNwX0mzYenAEAAAAC,,,,,manual,12 ROUNDS 2 RELOADED,Movies Acquired,FOX,Committed,5/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Harshitha
Do not use 2043,GXSycXQx6YZVLqQEAAA7P,GXSycXQx6YZVLqQEAAA7P,,,,title,12 ROUNDS 3: LOCKDOWN,Movies Acquired,LIONS GATE,Committed,3/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Harshitha
Do not use 1254,GXJvJnAOSVIG6gAEAAAFn,GXJvJnAOSVIG6gAEAAAFn,,,,title,12 STRONG,Movies Acquired,INTERCOMPANY,Committed,6/10/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
703629,GXJvJnAOSVIG6gAEAAAFn,GXJvJnAOSVIG6gAEAAAFn,,,,title,12 STRONG,Movies Acquired,WARNER BROS.,Committed,9/10/18,,,,HBO Acquired,2018,,,11/3/23,0,Harshitha
761117,GYSUuJAZV121AigEAAACE,GYSUuJAZV121AigEAAACE,,,,title,12 YEARS A SLAVE,Movies Acquired,FOX,Committed,9/1/14,,,,HBO Acquired,2014,,,11/3/23,0,Harshitha
Do not use 810,GYSUuJAZV121AigEAAACE,GYSUuJAZV121AigEAAACE,,,,title,12 YEARS A SLAVE,Movies Acquired,3RD-PARTY,Committed,2/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-001913,GX8VMAAjj5cLDbAEAAABL,,,,,manual,12 oz Mouse,Adult Animation Acquired,AS,Committed,1/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-002094,GX8VMAAjj5cLDbAEAAABL,,,,,manual,12 oz Mouse,Adult Animation Acquired,AS,Uncommitted,1/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
MAX-AQ-007191,,,,,,,Sole Survivor,Documentary Series Acquired,CNN,Committed,5/23/23,,,No,Max Acquired,2023,,,11/3/23,0,Colin
MAX-AQ-001914,GX8VMAAjj5cLDbAEAAABL,,,,,manual,12oz Mouse Special,Adult Animation Acquired,AS,Committed,1/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-002095,GX8VMAAjj5cLDbAEAAABL,,,,,manual,12oz Mouse Special,Adult Animation Acquired,AS,Uncommitted,1/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
Do not use 3617,GX4iIawx27GNViQEAAAOP,GX4iIawx27GNViQEAAAOP,,,,title,13 GOING ON 30,Movies Acquired,REVOLUTION,Committed,3/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-002234,GX4iIawx27GNViQEAAAOP,GX4iIawx27GNViQEAAAOP,,,,title,13 GOING ON 30,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,5/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
Do not use 5752,GX4iIawx27GNViQEAAAOP,GX4iIawx27GNViQEAAAOP,,,,title,13 GOING ON 30,Movies Acquired,REVOLUTION,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-000047,GX4iIawx27GNViQEAAAOP,,,,,manual,13 Going On 30 (Library),Movies Acquired,REVOLUTION STUDIOS,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Harshitha
MAX-OP-000137,GYVwB2QzURrmjIwEAAABa,GYVwB2QzURrmjIwEAAABa,,,,title,15 Minutes of Shame,Documentary Feature Original,A&E,Committed,,,DTC1051,No,Max OP,2021,,,11/3/23,0,Harshitha
MAX-AQ-007465,GXLip9wifscN8owEAAAGc,,,,,manual,"15:17 to Paris, The",Movies Acquired,WB,Committed,8/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-000957,GYGM-zQ4fFMJPwwEAAAAZ,GYGM-zQ4fFMJPwwEAAAAZ,,,,title,16 Blocks,Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Harshitha
MAX-AQ-007589,GYGX9YAcVV4i0wgEAAACH,GYGX9YAcVV4i0wgEAAACH,,,,title,17 Again,Movies Acquired,WB,Committed,9/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-000958,GYGX9YAcVV4i0wgEAAACH,GYGX9YAcVV4i0wgEAAACH,,,,title,17 Again,Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Harshitha
MAX-AQ-003232,GYGX9YAcVV4i0wgEAAACH,GYGX9YAcVV4i0wgEAAACH,,,,title,17 Again,Movies Acquired,WB,Committed,6/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-007466,GYGX9YAcVV4i0wgEAAACH,GYGX9YAcVV4i0wgEAAACH,,,,title,17 Again,Movies Acquired,WB,Committed,7/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-004979,GYGX9YAcVV4i0wgEAAACH,GYGX9YAcVV4i0wgEAAACH,,,,title,17 Again,Movies Acquired,WB,Committed,5/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-003233,GYGX9YAcVV4i0wgEAAACH,GYGX9YAcVV4i0wgEAAACH,,,,title,17 Again,Movies Acquired,WB,Committed,7/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-004978,GYGX9YAcVV4i0wgEAAACH,GYGX9YAcVV4i0wgEAAACH,,,,title,17 Again,Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-OP-000980,,,,,,,Sons of Ecstasy,Documentary Feature Original,ID,Committed,,,DTC1417,No,Max OP,2024,,,11/3/23,0,Colin
MAX-AQ-002001,GXc3jsQC0icPCwwEAAAaq,GXc3jsQC0icPCwwEAAAaq,,,,title,1968,Documentary Series Acquired,CNN,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-007117,a20f8104-efae-4422-b71c-96f98c26bf03,,,,,manual,1968: The Year That Changed America,Documentary Series Acquired,CNN,Committed,5/23/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
HBO-OP-001162,,,,,,,Sopranos Doc,Documentary Feature Original,,Committed,,,Sopranos Doc,No,HBO OP,2026,,,11/3/23,0,Colin
Do not use 4363,GYgqAaw6FFoiQCAEAAABQ,GYgqAaw6FFoiQCAEAAABQ,,,,title,2 DAYS IN NEW YORK,Movies Acquired,MAGNOLIA,Committed,10/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Harshitha
Do not use 4170,GYgqAaw6FFoiQCAEAAABQ,GYgqAaw6FFoiQCAEAAABQ,,,,title,2 DAYS IN NEW YORK,Movies Acquired,MAGNOLIA,Committed,3/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Harshitha
Do not use 3281,GX7aTgAanbbZJwwEAAAHP,GX7aTgAanbbZJwwEAAAHP,,,,title,2 DAYS IN THE VALLEY,Movies Acquired,PARAMOUNT,Committed,2/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
Do not use 5546,GX7aTgAanbbZJwwEAAAHP,GX7aTgAanbbZJwwEAAAHP,,,,title,2 DAYS IN THE VALLEY,Movies Acquired,PARAMOUNT,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
HBO-OP-000030,GWi8ECw2FUo6VPAEAAAFY,,,,,manual,2 Dope Queens S2,Special Original,,Uncommitted,,,WCF-10018988,No,HBO OP,,,,11/3/23,1,Harshitha
Do not use 3844,GWbgztg3fzYRYRwEAAAE1,GWbgztg3fzYRYRwEAAAE1,,,,title,2 FAST 2 FURIOUS,Movies Acquired,UNIVERSAL,Committed,11/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Harshitha
Do not use 5522,GWbgztg3fzYRYRwEAAAE1,GWbgztg3fzYRYRwEAAAE1,,,,title,2 FAST 2 FURIOUS,Movies Acquired,UNI,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Harshitha
Do not use 1086,GYY1D2wq6KC92wgEAAAAU,GYY1D2wq6KC92wgEAAAAU,,,,title,2 GUNS,Movies Acquired,3RD-PARTY,Committed,1/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Harshitha
Do not use 2247,GYXMKgwv4nhJSIwEAAACC,GYXMKgwv4nhJSIwEAAACC,,,,title,20 FEET FROM STARDOM,Movies Acquired,LIONS GATE,Committed,12/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
Do not use 2553,GYXMKgwv4nhJSIwEAAACC,GYXMKgwv4nhJSIwEAAACC,,,,title,20 FEET FROM STARDOM,Movies Acquired,LIONS GATE,Committed,1/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Harshitha
Do not use 4564,GYXMKgwv4nhJSIwEAAACC,GYXMKgwv4nhJSIwEAAACC,,,,title,20 FEET FROM STARDOM,Movies Acquired,LIONS GATE,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-001497,GXqRuGgaOypOetAEAAAAJ,GXqRuGgaOypOetAEAAAAJ,,,,title,20 Years on Death Row,Documentary Series Acquired,"BBC STUDIOS AMERICAS, INC.",Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-002003,GXk8nkAcN5J4_wwEAAArd,,,,,manual,"2000s, The",Documentary Series Acquired,CNN,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-004380,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-002572,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,1/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-004379,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,8/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-005880,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,1/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-005881,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,2/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-005882,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,7/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-005883,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,8/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-005884,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,9/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-005885,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,12/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-000760,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Harshitha
MAX-AQ-004378,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-003234,GXjS6HAogSI-njwEAAASb,GXjS6HAogSI-njwEAAASb,,,,title,2001: A Space Odyssey,Movies Acquired,WB,Committed,10/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-002757,,,,,,unmatchable,2010: The Year We Make Contact,Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Harshitha
MAX-AQ-005232,,,,,,unmatchable,2010: The Year We Make Contact,Movies Acquired,WB,Committed,2/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
Do not use 4523,,,,,,unmatchable,,Movies Acquired,WB,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha
HBO-OP-000819,,,,,,unmatchable,2021 Documentaries Contingency,Documentary Feature Original,,Committed,,,2021 Documentaries Contingency,No,HBO OP,,,,11/3/23,0,Harshitha
HBO-OP-000669,,,,,,unmatchable,2021 TBD Hour A S1,Drama Series Original,,Uncommitted,,,2021 TBD Hour A S1,No,HBO OP,,,,11/3/23,0,Harshitha
MAX-AQ-002389,,,,,,unmatchable,2022 - Amort,Movies Acquired,WB,Committed,12/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
HBO-OP-000413,,,,,,unmatchable,2022 Documentaries Contingency,Documentary Feature Original,,Committed,,,2022 Documentaries Contingency,No,HBO OP,,,,11/3/23,0,Harshitha
Do not use 5977,,,,,,unmatchable,2022 HBO Acq Plug,Movies Acquired,OTHER,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Harshitha
HBO-OP-000454,,,,,,unmatchable,2022 TBD Specials,Special Original,,Uncommitted,,,2022 TBD Specials,No,HBO OP,,,,11/3/23,0,Harshitha
HBO-OP-001175,,,,,,unmatchable,2022 Wrap Party Costs,"Development, Overall Deals, Other",,Committed,,,Business Affairs,No,HBO OP,,,,11/3/23,0,Harshitha
MAX-AQ-002390,,,,,,unmatchable,2023 - Amort,Movies Acquired,WB,Committed,10/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-002399,,,,,,unmatchable,2023 - Amort,Movies Acquired,HBO INT. - SERIES,Committed,10/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-002403,,,,,,unmatchable,2023 - Cash,International Content Acquired,HBO INT. - SERIES,Committed,10/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
HBO-OP-000467,,,,,,unmatchable,2023 Documentaries Contingency,Documentary Feature Original,,Committed,,,2023 Documentaries Contingency,No,HBO OP,,,,11/3/23,0,Harshitha
HBO-OP-000511,,,,,,unmatchable,2023 TBD Half Hour A S1,Comedy Series Original,,Uncommitted,,,2023 TBD Half Hour A S1,No,HBO OP,,,,11/3/23,0,Harshitha
HBO-OP-001100,,,,,,unmatchable,2023 TBD Series,Special Original,,Uncommitted,,,WCF-10024271,No,HBO OP,,,,11/3/23,0,Harshitha
HBO-OP-000497,,,,,,unmatchable,2023 TBD Specials,Special Original,,Uncommitted,,,,No,HBO OP,2023,,,11/3/23,0,Harshitha
HBO-OP-001234,,,,,,unmatchable,2023 Wrap Party Costs,"Development, Overall Deals, Other",,Committed,,,2023 Wrap Party Costs,No,HBO OP,,,,11/3/23,0,Harshitha
MAX-AQ-002400,,,,,,unmatchable,2024 - Amort,Movies Acquired,HBO INT. - SERIES,Committed,1/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
MAX-AQ-007400,,,,,,unmatchable,2024 - Amort,Movies Acquired,WB,Committed,1/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
MAX-AQ-002404,,,,,,unmatchable,2024 - Cash,International Content Acquired,HBO INT. - SERIES,Committed,1/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
2024 Budget Topside,,,,,,unmatchable,2024 Budget Topside,"Development, Overall Deals, Other",,Committed,,,HBO OP 2021 Actuals Plug,No,HBO OP,,,,11/3/23,0,Harshitha
MAX-AQ-002377,,,,,,unmatchable,2024 Extensions,Movies Acquired,WB,Uncommitted,1/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
MAX-AQ-007380,,,,,,unmatchable,2024 Premieres - Amort,"Development, Overall Deals, Other",TURNER,Committed,1/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
PH-1,,,,,,unmatchable,2024 Release Slate Placeholder,Movies Acquired,WB,Committed,,,,,HBO Acquired,2024,,,11/3/23,0,Harshitha
HBO-OP-000555,,,,,,unmatchable,2024 TBD Specials,Special Original,,Uncommitted,,,2024 TBD Specials,No,HBO OP,,,,11/3/23,0,Harshitha
MAX-AQ-007401,,,,,,unmatchable,2025 - Amort,Movies Acquired,WB,Committed,1/1/25,,,No,Max Acquired,2025,,,11/3/23,0,Harshitha
MAX-AQ-007406,,,,,,unmatchable,2025 - Amort,Movies Acquired,WB,Uncommitted,1/1/25,,,No,Max Acquired,2025,,,11/3/23,0,Harshitha
MAX-AQ-007410,,,,,,unmatchable,2025 - Amort,Movies Acquired,HBO INT. - SERIES,Committed,1/1/25,,,No,Max Acquired,2025,,,11/3/23,0,Harshitha
MAX-AQ-007414,,,,,,unmatchable,2025 - Cash,International Content Acquired,HBO INT. - SERIES,Committed,1/1/25,,,No,Max Acquired,2025,,,11/3/23,0,Harshitha
MAX-AQ-007376,,,,,,unmatchable,2025 Extensions,Movies Acquired,WB,Uncommitted,1/1/25,,,No,Max Acquired,2025,,,11/3/23,0,Harshitha
MAX-AQ-007381,,,,,,unmatchable,2025 Premieres - Amort,"Development, Overall Deals, Other",TURNER,Committed,1/1/26,,,No,Max Acquired,2026,,,11/3/23,0,Harshitha
HBO-OP-000615,,,,,,unmatchable,2025 TBD Docuseries A,Documentary Series Original,,Uncommitted,,,2025 TBD Docuseries A,No,HBO OP,,,,11/3/23,0,Harshitha
HBO-OP-000589,,,,,,unmatchable,2025 TBD Docuseries B,Documentary Series Original,,Uncommitted,,,2025 TBD Docuseries B,No,HBO OP,,,,11/3/23,0,Harshitha
