Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
Do not use 957,GXTntuwdMw4-dUQEAABcq,GXTntuwdMw4-dUQEAABcq,,,,title,MONTE CARLO,Movies Acquired,3RD-PARTY,Committed,10/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 4444,GYjjjLQiRuwMuwgEAAAAD,GYjjjLQiRuwMuwgEAAAAD,,,,title,MOON,Movies Acquired,SONY,Committed,4/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Joe
813128,GYt_9-AbG4b3CaQEAAAy3,GYt_9-AbG4b3CaQEAAAy3,,,,title,MOONFALL,Movies Acquired,SUMMIT,Committed,9/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Joe
Do not use 1015,GYt_9-AbG4b3CaQEAAAy3,GYt_9-AbG4b3CaQEAAAy3,,,,title,MOONFALL,Movies Acquired,3RD-PARTY,Committed,5/1/30,,,,HBO Acquired,2030,,,11/3/23,0,Joe
Do not use 1586,GZFLH6geOjFK9vQEAAAGd,GZFLH6geOjFK9vQEAAAGd,,,,title,MOONLIGHT,Movies Acquired,A24,Committed,6/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Joe
Do not use 1464,GXYVQqA4kcanCVgEAAAql,GXYVQqA4kcanCVgEAAAql,,,,title,MOONLIGHT MILE,Movies Acquired,DISNEY,Committed,11/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 5156,GXYVQqA4kcanCVgEAAAql,GXYVQqA4kcanCVgEAAAql,,,,title,MOONLIGHT MILE,Movies Acquired,DISNEY,Committed,,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 2977,GYk-AWQT1b0soBQEAAAB-,GYk-AWQT1b0soBQEAAAB-,,,,title,MOONRAKER,Movies Acquired,MGM,Committed,2/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Joe
Do not use 2799,GXbInTwtl74NiYAEAAAgG,GXbInTwtl74NiYAEAAAgG,,,,title,MOONSTRUCK,Movies Acquired,MGM,Committed,11/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 4816,GXbInTwtl74NiYAEAAAgG,GXbInTwtl74NiYAEAAAgG,,,,title,MOONSTRUCK,Movies Acquired,MGM,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Joe
