,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
4098,MAX-AQ-004942,,,,,,,Ocean's 8,Movies Acquired,WB,Committed,4/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Ocean's
4145,MAX-AQ-003491,,,,,,,Ocean's Eleven (1960),Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Ocean's Eleven
4156,MAX-AQ-002676,,,,,,,Ocean's Eleven (2001),Movies Acquired,WB,Committed,11/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Ocean's Eleven
4193,MAX-AQ-001661,,,,,,,Odo - Season 1 (1/2),Kids Content Acquired,SIXTEEN SOUTH RIGHTS LIMITED (INT'L - 0%),Committed,12/2/21,,,Yes,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Odo
4198,MAX-AQ-001662,,,,,,,Odo - Season 1 (2/2),Kids Content Acquired,SIXTEEN SOUTH RIGHTS LIMITED (INT'L - 0%),Committed,1/2/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Odo
4201,MAX-AQ-002225,,,,,,,Off the Air S10,Comedy Series Acquired,AS,Committed,6/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Off the
4203,MAX-AQ-004346,,,,,,,Off the Air S11,Adult Animation Acquired,AS,Committed,2/16/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Off the
4205,MAX-AQ-001568,,,,,,,"Office, The: Series 01",Comedy Series Acquired,"BBC STUDIOS AMERICAS, INC.",Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Mei-Cheng,Office
4219,MAX-AQ-001569,,,,,,,"Office, The: Series 02",Comedy Series Acquired,"BBC STUDIOS AMERICAS, INC.",Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Mei-Cheng,Office
4220,MAX-AQ-001570,,,,,,,"Office, The: Specials 2003",Comedy Series Acquired,"BBC STUDIOS AMERICAS, INC.",Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Mei-Cheng,Office
4221,MAX-AQ-005866,,,,,,,Oh Hell! S1 - HBOMax,International Content Original,HBO INT. - SERIES,Committed,10/10/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Oh Hell!
4234,MAX-AQ-005377,,,,,,,"Oklahoma Kid, The",Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Oklahoma Kid
4235,MAX-AQ-001713,,,,,,,Ollie and Moon S1,Kids Content Acquired,FEDERATION INTERNATIONAL,Committed,1/12/21,,,Yes,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Ollie and Moon
4236,MAX-AQ-001714,,,,,,,Ollie and Moon S2,Kids Content Acquired,FEDERATION INTERNATIONAL,Committed,1/12/21,,,Yes,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Ollie and Moon
4237,HBO-OP-000866,,,,,,,Omar Broadway Doc,Documentary Feature Original,,Committed,,,WCF-10019837,No,HBO OP,,,,11/3/23,0,Mei-Cheng,Omar Broadway Doc
4260,MAX-AQ-002870,,,,,,,"Omega Man, The",Movies Acquired,WB,Committed,5/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Omega Man
4335,MAX-OP-000029,,,,,,,On The Trail Inside the 2020 Primaries (CNN),Documentary Feature Original,CNN,Committed,,,DTC1106,No,Max OP,2020,,,11/3/23,0,Mei-Cheng,On The
4336,MAX-OP-000968,,,,,,,On the Roam with Jason Momoa,Unscripted Original,DSC,Committed,,,DTC1405,No,Max OP,2024,,,11/3/23,0,Mei-Cheng,On the
4353,MAX-AQ-001663,,,,,,,On the Spectrum Season 1,International Content Acquired,DBS SATTELITE SERVICES LTD. D/B/A YES STUDIOS,Committed,4/2/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,On the
4366,MAX-AQ-005540,,,,,,,One True Singer (The Artist),International Content Original,HBO INT. - SERIES,Committed,4/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,One True
4370,HBO-OP-000791,,,,,,,Operating FX Gain/(Loss),"Development, Overall Deals, Other",,Committed,,,WCF-Operating FX Gain/(Loss),No,HBO OP,,,,11/3/23,0,Mei-Cheng,Operating FX Gain/(Loss)
4371,MAX-AQ-005383,,,,,,,"Opposite Sex, The",Movies Acquired,WB,Committed,4/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Opposite Sex
4385,MAX-OP-000783,,,,,,,Oscar's Handmade Halloween (SS Special #2),Kids Content Original,SS,Committed,,,HKF0046,Yes,Max OP,2023,,,11/3/23,0,Mei-Cheng,Oscar's Handmade
4388,Other,,,,,,,Other,D+,DISCCOVERY,Committed,,,,,Discovery+,,,,11/3/23,0,Mei-Cheng,Other
4389,MAX-AQ-001719,,,,,,,Other Parents Season 1,International Content Acquired,TURNER BROADCASTING SYSTEM DEUTSCHLAND GMBH,Committed,4/14/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Other Parents
